# Authored curriculum skills. Grammar and morphology skills remain generated.
# Columns: slug	kind	label (es)	level	gloss (en, optional)
#
# `function` rows carry only what is Spanish about them. Their description and
# prerequisites come from ../capabilities.tsv, which is shared with every other
# language so the graph cannot fork. Any other kind is language-specific and
# keeps its full row: a pattern is how *this* language works.
#
# The last column is an override, used where Spanish can be more concrete than a
# neutral description can: naming ¿verdad? is worth more to a learner here than
# "a tag question", and worthless to a learner of English. Leave it blank and the
# registry's description is the gloss. Restating that description is rejected.
order-food-drink	function	Pedir comida o bebida	a1
handle-add-on	function	Responder a «¿Algo más?»	a1
ask-understand-price	function	Preguntar y entender el precio	a1
close-service-exchange	function	Cerrar una interacción con cortesía	a1
ask-for-directions	function	Preguntar cómo llegar	a1
follow-simple-directions	function	Seguir indicaciones sencillas	a1
check-distance	function	Comprobar la distancia	a1
thank-for-help	function	Dar las gracias por la ayuda	a1
seek-clothing-item	function	Buscar una prenda concreta	a1
handle-clothing-size	function	Hablar de la talla	a1
ask-to-try-on	function	Pedir probarse una prenda	a1
choose-clothing-purchase	function	Elegir una prenda	a1
ask-understand-item-price	function	Preguntar y entender el precio de una prenda	a1
confirm-hotel-reservation	function	Confirmar una reserva de hotel	a1
give-stay-details	function	Dar los detalles de la estancia	a1
ask-whats-included	function	Preguntar qué está incluido	a1
understand-hotel-schedule	function	Entender un horario del hotel	a1
locate-hotel-facility	function	Localizar un servicio del hotel	a1
open-social-planning	function	Abrir una conversación sobre planes	a1
suggest-social-activity	function	Proponer una actividad	a1
respond-to-suggestion	function	Responder a una propuesta	a1
coordinate-plan-time	function	Acordar la hora de un plan	a1
confirm-social-plan	function	Confirmar un plan social	a1
anchor-routine-in-time	function	Situar una rutina en el tiempo	a1
describe-routine-actions	function	Describir acciones cotidianas	a1
add-context-to-routine	function	Añadir contexto a una rutina	a1
sequence-routine-events	function	Ordenar los eventos de una rutina	a1
connect-routine-to-destination	function	Conectar la rutina con un destino	a1
greet-someone	function	Saludar a alguien	a1
ask-about-wellbeing	function	Preguntar cómo está alguien	a1
respond-to-wellbeing	function	Responder a «¿Cómo estás?»	a1
close-friendly-exchange	function	Cerrar un saludo amistoso	a1
ask-about-origin	function	Preguntar de dónde es alguien	a1
say-where-youre-from	function	Decir de dónde eres	a1
say-where-you-are-based	function	Decir dónde vives ahora	a1
say-if-you-like-a-place	function	Decir si te gusta el sitio	a1
ask-what-someone-does	function	Preguntar a qué se dedica alguien	a1
ask-about-free-time	function	Preguntar por el tiempo libre	a1
talk-about-free-time	function	Hablar del tiempo libre	a1
say-you-did-not-understand	function	Decir que no entiendes	a1
ask-to-repeat	function	Pedir que lo repitan	a1
ask-to-slow-down	function	Pedir que hablen más despacio	a1
ask-for-a-word	function	Preguntar cómo se dice algo	a1
ask-what-something-means	function	Preguntar qué significa	a1
ask-it-in-writing	function	Pedir que lo escriban	a1
check-you-were-understood	function	Comprobar que lo has entendido	a1
describe-a-symptom	function	Decir qué te duele	a2
say-since-when	function	Decir desde cuándo	a2
answer-health-questions	function	Responder a las preguntas del médico	a2
follow-health-advice	function	Entender un consejo médico	a2
say-what-you-do	function	Decir en qué trabajas	a1
walk-through-a-workday	function	Contar un día de trabajo	a1
talk-about-work-meetings	function	Hablar de reuniones y citas	a1
say-how-the-day-went	function	Decir cómo terminó el día	a1
say-where-you-live	function	Decir dónde vives	a1
describe-the-rooms	function	Describir las habitaciones	a1
say-what-is-nearby	function	Decir qué hay cerca	a1
say-how-you-feel-about-home	function	Decir si te gusta vivir allí	a1
ask-for-a-ticket	function	Pedir un billete	a1
ask-about-departure	function	Preguntar a qué hora sale	a1
choose-a-fare	function	Elegir el tipo de billete	a1
find-the-platform	function	Preguntar de dónde sale	a1
ask-for-a-quantity	function	Pedir una cantidad	a1
ask-price-by-weight	function	Preguntar el precio por kilo	a1
change-what-you-asked-for	function	Cambiar el pedido	a1
pay-and-leave	function	Pagar y despedirse	a1
introduce-a-person	function	Presentar a alguien	a1
say-what-they-do	function	Decir a qué se dedica	a1
give-family-details	function	Dar detalles de la familia	a1
react-with-interest	function	Reaccionar con interés	a1
ask-when-something-happens	function	Preguntar cuándo es algo	a1
say-when-something-happens	function	Decir cuándo es algo	a1
ask-which-one	function	Preguntar cuál de varios	a1
choose-between-options	function	Elegir una opción	a1
ask-who-someone-is	function	Preguntar quién es alguien	a1
say-who-someone-is	function	Decir quién es alguien	a1
ask-why	function	Preguntar por qué	a1
give-a-reason	function	Dar una razón	a1
echo-to-check	function	Repetir algo como pregunta	a1
confirm-with-a-tag	function	Confirmar con «¿verdad?»	a1	Turn a statement into a check with ¿verdad? or ¿no?
answer-a-tag	function	Responder a una confirmación	a1
ask-someone-to-do	function	Pedir que alguien haga algo	b1
express-a-hope	function	Expresar un deseo	b1
give-advice	function	Aconsejar y recomendar	b1
express-doubt	function	Expresar duda o desacuerdo	b1
react-to-news	function	Reaccionar a una noticia	b1
state-a-purpose	function	Explicar para qué	b1
talk-about-a-future-moment	function	Hablar de cuando pase algo	b1
turn-something-down	function	Decir que no con cortesía	b1
make-a-complaint	function	Quejarse y pedir una solución	b1
weigh-two-options	function	Ver ventajas e inconvenientes	b1
concede-a-point	function	Conceder y matizar	b1
spell-a-word	function	Deletrear una palabra	a1
