# A2, narrated in the past — the level the pack had vocabulary for and no contexts.
# Columns: id	spanish	english	level	topics	note	register	address	regions	passage	speaker	skills
# Leave the id off a new row — omit the column entirely, do not leave it empty:
# a leading tab shifts every field one place. The build assigns one and writes it back.
#
# Why this file exists, measured. A2 shipped 210 sentences against A1's 1,215, and
# the **median A2 word appeared in exactly one sentence**: 160 of 179 A2 lexemes
# were short of even four encounters. That is not a level, it is a vocabulary list
# with examples attached. Meanwhile 81% of the whole pack was present indicative
# and the past tenses — which *are* A2's own grammar — had 45 sentences between
# them.
#
# Those are one problem, not two, and the starved words say so: `contar`,
# `recordar`, `olvidar`, `decidir`, `nacer`, `comenzar`, `durar`, `descubrir` are
# narration verbs. They were short of contexts because the pack had almost no
# narration to put them in.
#
# So every passage here is a past-tense account built from A2 words the pack
# already had, chosen from the coverage report rather than from whatever came to
# mind. Per §3.1 of the expansion brief that is the shape with the measured
# return: the passage pass bought ~165 encounters for 77 rows where the
# new-vocabulary pass bought ~20 for 72. **No new lexeme is introduced by this
# file** — where a word would have been new, the sentence was rewritten instead.
#
# One deliberate omission: `ser` and `ir` share a preterite (`fue`, `fui`,
# `fuimos`), which the tokeniser declines to disambiguate and a test pins as
# unlinked. Rather than add eight more unlinked tokens, these passages reach for
# `estar` where the sense allows — `Ayer estuve en el mercado` rather than
# `Ayer fui al mercado`. Not a workaround for a bug; the two say slightly
# different things and the one that links is also the one that is easier to read.

# ── El piso nuevo (home, in the preterite) ────────────────────────────────────
001426	El año pasado cambié de piso.	Last year I moved flat.	a2	home	Opens the account, so the whole passage reads as the past.	neutral			piso-nuevo
001427	El comedor estaba vacío y no tenía lámpara.	The dining room was empty and had no lamp.	a2	home	Imperfect for how things stood, beside the preterite for what happened.	neutral			piso-nuevo
001428	Las paredes eran blancas y el suelo era de madera.	The walls were white and the floor was wooden.	a2	home		neutral			piso-nuevo
001429	Compré un espejo muy grande y un armario para la ropa.	I bought a very big mirror and a wardrobe for clothes.	a2	home,shopping		neutral			piso-nuevo
001430	Puse el espejo al lado de la ventana.	I put the mirror next to the window.	a2	home		neutral			piso-nuevo
001431	Mi vecino me ayudó con el armario.	My neighbour helped me with the wardrobe.	a2	home,people		neutral			piso-nuevo
001432	Terminamos muy tarde, pero el sitio me gustó mucho.	We finished very late, but I liked the place a lot.	a2	home,feelings		neutral			piso-nuevo
002390	La cocina era pequeña pero tenía una nevera nueva.	The kitchen was small but it had a new fridge.	a2	home					piso-nuevo		
002391	En el dormitorio puse una cama y una silla.	In the bedroom I put a bed and a chair.	a2	home					piso-nuevo		
002392	Limpié el suelo dos veces antes de entrar.	I cleaned the floor twice before moving in.	a2	home					piso-nuevo		
002393	Mi hermana me trajo una lámpara para el comedor.	My sister brought me a lamp for the dining room.	a2	home,family					piso-nuevo		
002394	Puse una foto grande encima del sofá.	I put a big photo above the sofa.	a2	home					piso-nuevo		
002395	La primera noche no pude dormir por el ruido de la calle.	The first night I could not sleep because of the noise from the street.	a2	home,city					piso-nuevo		
002396	Después de un mes, todo estaba en su sitio.	After a month, everything was in its place.	a2	home					piso-nuevo		
001433	Ahora el comedor está lleno de cosas mías.	Now the dining room is full of my things.	a2	home	Closes in the present, which is what makes the rest read as past.	neutral			piso-nuevo

# ── Un día en el mercado (food and shopping, in the preterite) ────────────────
001434	Ayer estuve en el mercado muy temprano.	Yesterday I was at the market very early.	a2	shopping,food-drink		neutral			mercado-ayer
001435	Compré uvas, fresas y una lechuga.	I bought grapes, strawberries and a lettuce.	a2	shopping,food-drink		neutral			mercado-ayer
001436	También necesitaba ajo, cebolla y zanahorias.	I also needed garlic, onion and carrots.	a2	shopping,food-drink		neutral			mercado-ayer
001437	El aceite estaba muy caro esta semana.	The oil was very expensive this week.	a2	shopping,food-drink		neutral			mercado-ayer
001438	En la panadería me recomendaron el pan de hoy.	At the bakery they recommended today's bread.	a2	shopping,food-drink		neutral			mercado-ayer
001439	Volví a casa con dos cajas llenas.	I came home with two full boxes.	a2	shopping,home		neutral			mercado-ayer
001440	Puse la mantequilla y la leche en la nevera.	I put the butter and the milk in the fridge.	a2	home,food-drink		neutral		es-ES,es-CO,es-VE,es-CU,es-DO,es-PR	mercado-ayer
001441	Preparé una ensalada con lechuga, zanahoria y aceite.	I made a salad with lettuce, carrot and oil.	a2	food-drink		neutral			mercado-ayer
002397	También compré huevos y un poco de queso.	I also bought eggs and a little cheese.	a2	shopping,food-drink					mercado-ayer		
002398	El pescado era muy bueno, pero costaba mucho.	The fish was very good, but it cost a lot.	a2	shopping,food-drink					mercado-ayer		
002399	Una señora me dio a probar unas fresas.	A woman gave me some strawberries to try.	a2	shopping,food-drink					mercado-ayer		
002400	Pagué en efectivo porque la tarjeta no funcionaba.	I paid cash because the card was not working.	a2	shopping,money					mercado-ayer		
002401	En la panadería compré un pastel para el domingo.	At the bakery I bought a cake for Sunday.	a2	shopping,food-drink					mercado-ayer		
002402	Al salir empezó a llover y volví corriendo.	As I left it started to rain and I ran back.	a2	weather					mercado-ayer		
002403	Por la tarde cociné sopa para toda la semana.	In the afternoon I cooked soup for the whole week.	a2	home,food-drink					mercado-ayer		

# ── Un domingo en el campo (nature, preterite and imperfect together) ─────────
001442	El domingo pasado estuvimos en el campo.	Last Sunday we were out in the country.	a2	nature		neutral			domingo-campo
