# Spanish nouns — authoring source for the core-es pack.
# Columns: id	lemma	gloss (en)	gender	plural (blank = regular)	level	topics	regions	register
# Plurals are generated unless an irregular one is given (examen → exámenes).
# Put `-` in the id column for a word that should not get its own card: the
# lexeme and its meaning still ship, so sentences using it stay inspectable,
# but no flashcard is generated. Used where a noun and an adjective share a
# surface form (frío), which would otherwise be two identical cards.
# Leave the id off a new row — omit the column entirely, do not leave it empty:
# a leading tab shifts every field one place. The build assigns one, writes it
# back, and the
# row keeps it thereafter however the file is edited or reordered.
500001	persona	person	f		a1	people
500002	hombre	man	m		a1	people
500003	mujer	woman	f		a1	people
500004	niño	boy, child	m		a1	people,family
500005	niña	girl	f		a1	people,family
500006	bebé	baby	m		a1	family
500007	familia	family	f		a1	family
500008	padre	father	m		a1	family
500009	madre	mother	f		a1	family
500010	hijo	son	m		a1	family
500011	hija	daughter	f		a1	family
500012	hermano	brother	m		a1	family
500013	hermana	sister	f		a1	family
500014	abuelo	grandfather	m		a1	family
500015	abuela	grandmother	f		a1	family
500016	tío	uncle	m		a1	family
500017	tía	aunt	f		a1	family
500018	primo	cousin	m		a2	family
500019	esposo	husband	m		a1	family
500020	esposa	wife	f		a1	family
500021	novio	boyfriend	m		a1	family
500022	novia	girlfriend	f		a1	family
500023	amigo	friend	m		a1	social
500024	amiga	friend (female)	f		a1	social
500025	vecino	neighbour	m		a2	social
500026	gente	people	f		a1	people
500027	señor	sir, mister	m		a1	social
500028	señora	madam, missus	f		a1	social
500029	chico	boy, guy	m		a1	people
500391	chica	girl, young woman	f		a1	people
500030	nombre	name	m		a1	people
500031	cuerpo	body	m		a1	body
500032	cabeza	head	f		a1	body
500033	pelo	hair	m		a1	body
500034	cara	face	f		a1	body
500035	ojo	eye	m		a1	body
500036	nariz	nose	f		a1	body
500037	boca	mouth	f		a1	body
500038	diente	tooth	m		a1	body
500039	oreja	ear	f		a1	body
500040	cuello	neck	m		a2	body
500041	brazo	arm	m		a1	body
500042	mano	hand	f		a1	body
500043	dedo	finger	m		a1	body
500044	pierna	leg	f		a1	body
500045	pie	foot	m		a1	body
500046	espalda	back	f		a2	body
500047	corazón	heart	m		a1	body
500048	estómago	stomach	m		a2	body
500049	piel	skin	f		a2	body
500050	sangre	blood	f		a2	body
500051	dolor	pain	m		a1	health
