# Every item id core-es has ever issued. Generated by scripts/build-dataset.ts.
# A row that goes away keeps its id here as `retired`, so it is never reissued.
# Columns: id	kind	status	text — text is a reminder, the id is the identity.
000001	sentence	active	Hola, ¿cómo estás?
000002	sentence	active	Buenos días.
000003	sentence	active	Buenas tardes.
000004	sentence	active	Buenas noches.
000005	sentence	active	¿Cómo te llamas?
000006	sentence	active	Me llamo Ana.
000007	sentence	active	Mucho gusto.
000008	sentence	active	¿De dónde eres?
000009	sentence	active	Soy de España.
000010	sentence	active	¿Hablas inglés?
000011	sentence	active	No hablo mucho español.
000012	sentence	active	Hablo un poco de español.
000013	sentence	active	No entiendo.
000014	sentence	active	¿Puedes repetir, por favor?
000015	sentence	active	Más despacio, por favor.
000016	sentence	active	¿Qué significa esta palabra?
000017	sentence	active	¿Cómo se dice en español?
000018	sentence	active	Gracias por tu ayuda.
000019	sentence	active	De nada.
000020	sentence	active	Perdón, no te oigo.
000021	sentence	active	Lo siento mucho.
000022	sentence	active	Hasta mañana.
000023	sentence	active	Adiós, buen viaje.
000024	sentence	active	Tengo que trabajar.
000025	sentence	active	Tengo que irme.
000026	sentence	active	Tengo hambre.
000027	sentence	active	Tengo sed.
000028	sentence	active	Tengo frío.
000029	sentence	active	Tengo calor.
000030	sentence	active	Tengo sueño.
000031	sentence	active	Tengo miedo.
000032	sentence	active	Tengo prisa.
000033	sentence	active	Tengo treinta años.
000034	sentence	active	¿Cuántos años tienes?
000035	sentence	active	No tengo tiempo hoy.
000036	sentence	active	Tenemos que esperar.
000037	sentence	active	¿Tienes tiempo esta tarde?
000038	sentence	active	Mi hermana tiene dos hijos.
000039	sentence	active	Soy profesor.
000040	sentence	active	Ella es médica.
000041	sentence	active	Somos amigos.
000042	sentence	active	Es muy importante.
000043	sentence	active	No es difícil.
000044	sentence	active	Este libro es interesante.
000045	sentence	active	La película fue muy buena.
000046	sentence	active	Estoy cansado.
000047	sentence	active	Hoy estoy muy cansado.
000048	sentence	active	Estoy contento.
000049	sentence	active	Estamos en casa.
000050	sentence	active	¿Dónde estás?
000051	sentence	active	El libro está en la mesa.
000052	sentence	active	Mi madre está enferma.
000053	sentence	active	Estoy aprendiendo español.
000054	sentence	active	Estamos comiendo.
000055	sentence	active	¿Qué estás haciendo?
000056	sentence	active	Quiero un café, por favor.
000057	sentence	active	Quiero comprar una camisa.
000058	sentence	active	No quiero salir esta noche.
000059	sentence	active	¿Quieres venir con nosotros?
000060	sentence	active	Queremos ver la ciudad.
000061	sentence	active	Quisiera reservar una mesa.
000062	sentence	active	¿Puedo pasar?
000063	sentence	active	¿Puedes ayudarme?
000064	sentence	active	No puedo ir hoy.
000065	sentence	active	¿Podemos hablar un momento?
000066	sentence	active	Puedes llamarme mañana.
000067	sentence	active	Voy al trabajo.
000068	sentence	active	Voy a la escuela.
000069	sentence	active	Vamos a comer.
000070	sentence	active	Voy a estudiar esta noche.
000071	sentence	active	¿Vas a venir a la fiesta?
000072	sentence	active	Van a llegar tarde.
000073	sentence	active	Me gusta el café.
000074	sentence	active	No me gusta el pescado.
000075	sentence	active	¿Te gusta bailar?
000076	sentence	active	Me gustan los perros.
000077	sentence	active	Nos gusta mucho esta ciudad.
000078	sentence	active	Me gustaría viajar a México.
000079	sentence	active	Necesito ayuda.
000080	sentence	active	Necesitamos más tiempo.
000081	sentence	active	¿Necesitas algo?
000082	sentence	active	Hay un problema.
000083	sentence	active	Hay muchas personas aquí.
