# Passages: several sentences read as one connected text (spec §16).
# Columns: id	key	kind	title (es)	title (en)	level	topics
#
# The sentences themselves live in the sentences-*.tsv files and carry the
# passage key in their `passage` column, so a paragraph stays together in the
# file a human is reading and each of its sentences stays practisable on its own.
# `kind` is text or dialogue; a dialogue needs a speaker on every line.
# Leave the id off a new row — omit the column entirely, do not leave it empty:
# a leading tab shifts every field one place and the build reads a speaker as a
# skill. The build assigns an id and writes it back.
700001	mañana	text	Una mañana normal	An ordinary morning	a1	daily-routine
700002	piso	text	Mi piso	My flat	a1	home
700003	oficina	text	Un día en la oficina	A day at the office	a1	work
700004	sabado	text	El sábado	Saturday	a1	social
700005	enfermo	text	No me siento bien	I don't feel well	a2	health
700006	verano	text	El verano pasado	Last summer	a2	travel
700007	mercado	text	En el mercado	At the market	a1	shopping
700008	lluvia	text	Un día de lluvia	A rainy day	a1	weather
700009	cafeteria	dialogue	En la cafetería	At the café	a1	restaurant
700010	tienda	dialogue	En la tienda de ropa	At the clothes shop	a1	shopping
700011	calle	dialogue	Perdona, ¿dónde está?	Excuse me, where is it?	a1	travel
700012	hotel	dialogue	En el hotel	At the hotel	a1	travel
700013	medico	dialogue	En el médico	At the doctor's	a2	health
700014	amigos	dialogue	¿Qué hacemos esta noche?	What shall we do tonight?	a1	social
700015	cafeteria-reto	dialogue	Otro pedido en la cafetería	Another café order	a1	restaurant
700016	calle-reto	dialogue	Otra ruta por la ciudad	Another route through town	a1	travel
700017	tienda-reto	dialogue	Otra compra de ropa	Another clothes purchase	a1	shopping
700018	hotel-reto	dialogue	Otra llegada al hotel	Another hotel arrival	a1	travel
700019	planes-reto	dialogue	Otros planes con amigos	Different plans with friends	a1	social
700020	otra-mañana	text	Una mañana de sábado	A Saturday morning	a1	daily-routine
700021	contacto-cafe	dialogue	Un desayuno en la cafetería	Breakfast at the café	a1	restaurant
700022	cafe-libre	dialogue	Un pedido antes del trabajo	An order before work	a1	restaurant
700023	ruta-museo	dialogue	El camino al museo	The way to the museum	a1	travel
700024	ruta-autobus	dialogue	Buscando la parada	Looking for the bus stop	a1	travel
700025	ropa-pantalones	dialogue	Unos pantalones nuevos	A new pair of trousers	a1	shopping
700026	ropa-zapatos	dialogue	Comprar zapatos	Buying shoes	a1	shopping
700027	hotel-individual	dialogue	Una habitación individual	A single room	a1	travel
700028	hotel-noche	dialogue	Una llegada de noche	A late arrival	a1	travel
700029	planes-cena	dialogue	Quedar para cenar	Making dinner plans	a1	social
700030	planes-domingo	dialogue	Planes para el domingo	Sunday plans	a1	social
700031	mañana-ocupada	text	Una mañana con prisa	A busy morning	a1	daily-routine
700032	mañana-domingo	text	Mi mañana de domingo	My Sunday morning	a1	daily-routine
700033	saludo-inicial	dialogue	Conocer a alguien	Meeting someone	a1	greetings
700034	saludo-amigo	dialogue	Encontrarse con una amiga	Meeting a friend	a1	greetings
700035	saludo-trabajo	dialogue	Un saludo en el trabajo	A greeting at work	a1	greetings
700036	saludo-vecina	dialogue	Conocer a una vecina	Meeting a neighbour	a1	greetings
700037	farmacia	dialogue	En la farmacia	At the pharmacy	a2	health
700038	medico-espalda	dialogue	Otra consulta médica	Another doctor’s appointment	a2	health
700039	cita-telefono	dialogue	Pedir cita por teléfono	Making an appointment by phone	a2	health
700040	trabajo-casa	text	Un día de trabajo en casa	A day working from home	a1	work
700041	trabajo-tienda	text	Un día en la tienda	A day in the shop	a1	work
700042	trabajo-ocupado	text	Un día muy ocupado	A very busy day	a2	work
700043	casa-pueblo	text	Mi casa en el pueblo	My house in the village	a1	home
700044	habitacion-estudiante	text	Mi habitación de estudiante	My student room	a1	home
700045	piso-compartido	text	Un piso para dos	A flat for two	a1	home
700046	billete-tren	dialogue	En la estación	At the station	a1	travel
700047	billete-autobus	dialogue	En la estación de autobuses	At the bus station	a1	travel
