# B1: the vocabulary in ordinary sentences, mostly indicative.
# Columns: id	spanish	english	level	topics	note	register	address	regions	passage	speaker	skills
#
# Leave the id off a new row — omit the column entirely, do not leave it empty:
# a leading tab shifts every field one place left.
#
# The companion to `sentences-b1-subjunctive.tsv`, and deliberately not more of
# it. A level is not a grammar point: a learner who only ever meets `contrato`
# inside `es necesario que…` has learned the construction and not the word. So
# these sentences carry the same B1 vocabulary in the plainest frames available,
# which is also what gives the recycling target somewhere to be met — a word
# needs four *different* contexts, and four subjunctive clauses are one context
# wearing four hats.
#
# Grouped by subject rather than by form, for the opposite reason to that file.
001816	La entrevista es el martes a las diez.	The interview is on Tuesday at ten.	b1	work							
001817	Después de la entrevista, me llamaron el mismo día.	After the interview, they called me the same day.	b1	work							
001818	Firmé el contrato la semana pasada.	I signed the contract last week.	b1	work							
001819	El contrato es temporal, solo por seis meses.	The contract is temporary, only for six months.	b1	work							
001820	Mi horario es de nueve a cinco.	My hours are nine to five.	b1	work							
001821	Este mes tengo un horario más cómodo.	This month I have easier hours.	b1	work							
001822	Es un puesto nuevo en la oficina de Madrid.	It is a new post in the Madrid office.	b1	work							
001823	El puesto pide tres años de experiencia.	The post asks for three years of experience.	b1	work							
001824	Tengo experiencia con clientes difíciles.	I have experience with difficult clients.	b1	work							
001825	La empresa va a contratar a dos personas más.	The company is going to take on two more people.	b1	work							
001826	Contratan gente joven cada verano.	They hire young people every summer.	b1	work							
001827	Nos prometieron un sueldo mejor en enero.	They promised us a better salary in January.	b1	work,money							
001828	Te prometo que mañana lo termino.	I promise you I will finish it tomorrow.	b1	work,communication							
001829	Prometió ayudarme y no vino.	He promised to help me and did not come.	b1	communication							
001830	No prometas nada que no puedas hacer.	Do not promise anything you cannot do.	b1	communication							give-advice
001831	Despidieron a tres empleados en marzo.	They dismissed three employees in March.	b1	work							
001832	Nadie sabe por qué lo despidieron.	Nobody knows why they let him go.	b1	work							
001833	Me despedí de mis compañeros el viernes.	I said goodbye to my colleagues on Friday.	b1	work	The same verb both ways: «despedir a alguien» is to dismiss them, «despedirse de alguien» is to say goodbye.						
001834	Es una empresa privada, no del estado.	It is a private company, not a state one.	b1	work							
001835	Trabajo en una empresa privada desde hace dos años.	I have worked in the private sector for two years.	b1	work							
001836	Los datos son privados y no los comparto.	The data is private and I do not share it.	b1	technology,work							
001837	Una escuela privada cuesta mucho dinero.	A private school costs a lot of money.	b1	school,money							
001838	Soy responsable de la reunión de los lunes.	I am responsible for the Monday meeting.	b1	work							
001839	Busco a alguien responsable para el puesto.	I am looking for someone responsible for the post.	b1	work							
001840	Es un chico muy responsable para su edad.	He is a very responsible boy for his age.	b1	people							
001841	¿Quién es el responsable de este error?	Who is responsible for this mistake?	b1	work							
001842	Estoy dispuesto a trabajar los sábados.	I am willing to work Saturdays.	b1	work							
001843	No estoy dispuesta a pagar más.	I am not willing to pay more.	b1	money							
001844	Si estás dispuesto a esperar, hay sitio.	If you are willing to wait, there is room.	b1	restaurant							
001845	Estaban dispuestos a cambiar el horario.	They were willing to change the hours.	b1	work							
001846	Supongo que la reunión será larga.	I suppose the meeting will be a long one.	b1	work							
001847	Supuse que ya lo sabías.	I assumed you already knew.	b1	communication							
001848	¿Supones que van a contratar a alguien?	Do you suppose they are going to hire someone?	b1	work							
001849	Suponemos que el precio va a subir.	We assume the price is going to go up.	b1	money							
001850	Logré terminar el proyecto a tiempo.	I managed to finish the project on time.	b1	work							
001851	No logro entender este artículo.	I cannot manage to understand this article.	b1	news,school							
