# Sentences for words that shipped with no example at all: both halves of the
# regional pairs, and the high-frequency adjectives, adverbs and pronouns the
# other files never used.
# Columns: id	spanish	english	level	topics	note	register	address	regions
#
# ── Regional pairs: the side that had no sentence ─────────────────────────────
000444	La patata y el tomate son verduras.	Potato and tomato are vegetables.	a1	food-drink
000445	Compro patatas en el supermercado.	I buy potatoes at the supermarket.	a1	shopping
000446	Mi carro es viejo pero funciona.	My car is old but it works.	a1	travel
000447	Vamos en carro a la playa.	We're going to the beach by car.	a1	travel
000448	Un zumo de naranja, por favor.	An orange juice, please.	a1	restaurant
000449	Bebo zumo en el desayuno.	I drink juice at breakfast.	a1	food-drink
000450	La computadora de la oficina es nueva.	The office computer is new.	a1	objects
000451	Trabajo con la computadora todos los días.	I work with the computer every day.	a1	work
000452	Mi celular está en la mesa.	My mobile is on the table.	a1	objects
000453	No encuentro mi celular.	I can't find my mobile.	a1	objects
000454	Compré dos boletos para el tren.	I bought two tickets for the train.	a2	travel,numbers
000455	El boleto de autobús cuesta poco.	The bus ticket doesn't cost much.	a1	travel
000456	El camión llega a las ocho.	The bus arrives at eight.	a2	travel,clock		colloquial
000457	Voy en camión al centro.	I go into town by bus.	a2	travel		colloquial
000458	No tengo plata para el taxi.	I haven't got the money for a taxi.	a2	shopping		colloquial
000459	Gano poca plata en este trabajo.	I earn little money in this job.	a2	work		colloquial
000460	No me queda pasta hasta el lunes.	I've no cash left until Monday.	a2	shopping,days-of-week		colloquial
000461	Necesito pasta para el fin de semana.	I need cash for the weekend.	a2	shopping		colloquial
000462	Busco mis lentes.	I'm looking for my glasses.	a1	clothes
000463	Los lentes están debajo del libro.	The glasses are under the book.	a1	clothes
000464	Pongo la leche en el refrigerador.	I put the milk in the fridge.	a2	home
000465	El refrigerador está vacío.	The fridge is empty.	a2	home
#
# ── Adjectives that had no example ────────────────────────────────────────────
000466	Mi hermano es joven y alto.	My brother is young and tall.	a1	people
000467	Esta silla es muy baja.	This chair is very low.	a1	home
000468	El pelo corto es más fácil.	Short hair is easier.	a1	body
000469	El perro es gordo y el gato es delgado.	The dog is fat and the cat is thin.	a2	animals
000470	Tu hermana es muy guapa.	Your sister is very good-looking.	a1	people
000471	Ese sombrero es feo.	That hat is ugly.	a2	clothes
000472	La clase de hoy es aburrida.	Today's class is boring.	a1	school
000473	Me siento débil desde ayer.	I've felt weak since yesterday.	a2	health
000474	El tren es rápido y el autobús es lento.	The train is fast and the bus is slow.	a1	travel
000475	Somos pobres pero felices.	We're poor but happy.	a2	feelings
000476	¿Estás listo?	Are you ready?	a1	core
000477	Mi vecino es muy simpático.	My neighbour is very nice.	a2	social
