# The question words, and the answers they are asked for.
# Columns: id	spanish	english	level	topics	note	register	address	regions	passage	speaker	skills
# Leave the id off a new row: the build assigns one and writes it back.
#
# Why this file exists. `qué`, `dónde`, `cuánto` and `cómo` were well covered by the
# situations the missions teach -- you cannot order a coffee without them. The
# other four were not: `cuándo` had two plain examples outside the health
# passages, `cuál` had two, `quién` four, and `por qué` exactly one. A learner
# could confirm a hotel and describe a symptom but could not ask when the party
# starts, which of two shirts is cheaper, who the new boss is, or why not.
#
# So each of those four gets what the missions get: a dialogue that puts it in a
# real situation, and a palette of natural alternatives on either side of it --
# the question and the answer, because a question word nobody answers teaches
# half a move.
#
# The demonstratives ride along at the end. `este`/`ese`/`aquel` are what the
# answer to «¿cuál?» is actually made of, so the choosing dialogue teaches the
# three-way contrast where it really occurs, and the closing section gives the
# `grammar` category the items it was short of.

# ── ¿Cuándo es la fiesta? (model dialogue) ────────────────────────────────────
001297	Oye, Luis, el sábado hay una fiesta en mi casa.	Hey, Luis, there's a party at my place on Saturday.	a1	social		colloquial	tu		cuando-fiesta	Ana	suggest-social-activity
001298	¡Qué bien! ¿Cuándo empieza?	Great! When does it start?	a1	social,clock,questions		colloquial	tu		cuando-fiesta	Luis	ask-when-something-happens
001299	Empieza a las nueve de la noche.	It starts at nine in the evening.	a1	social,clock		colloquial	tu		cuando-fiesta	Ana	say-when-something-happens
001300	¿Y cuándo termina?	And when does it finish?	a1	social,clock,questions		colloquial	tu		cuando-fiesta	Luis	ask-when-something-happens
001301	Muy tarde. Estas fiestas nunca terminan pronto.	Very late. These parties never finish early.	a1	social,clock		colloquial	tu		cuando-fiesta	Ana	say-when-something-happens
001302	¿Cuándo tengo que llegar?	When do I need to get there?	a1	social,clock,questions		colloquial	tu		cuando-fiesta	Luis	ask-when-something-happens
001303	A las nueve o a las diez. Las dos están bien.	At nine or at ten. Either is fine.	a1	social,clock		colloquial	tu		cuando-fiesta	Ana	say-when-something-happens
001304	Entonces voy sobre las nueve y media.	Then I'll come at about half past nine.	a1	social,clock		colloquial	tu		cuando-fiesta	Luis	confirm-social-plan
001305	Perfecto. Hasta el sábado.	Perfect. See you on Saturday.	a1	social,greetings		colloquial	tu		cuando-fiesta	Ana	close-friendly-exchange
001306	Hasta el sábado, Ana.	See you on Saturday, Ana.	a1	greetings		colloquial	tu		cuando-fiesta	Luis	close-friendly-exchange

# ── Asking when something happens ─────────────────────────────────────────────
001307	¿Cuándo es la fiesta?	When is the party?	a1	social,clock,questions	The bare question, for anything with a date.	neutral					ask-when-something-happens
